id,question,answer1,isCorrect1,answer2,isCorrect2,answer3,isCorrect3,answer4,isCorrect4,answer5,isCorrect5,answer6,isCorrect6,answer7,isCorrect7,answer8,isCorrect8
72,"Z periodickej tabuľky chemických prvkov môžeme vyvodiť, že:",kovový charakter prvkov rastie zľava doprava ,0,nekovový charakter prvkov klesá sprava doľava ,1,oxidačné účinky prvkov klesajú zľava doprava ,0,redukčné účinky prvkov klesajú zľava doprava ,1,elektronegativita prvkov rastie zľava doprava ,1,zásaditosť oxidov prvkov klesá sprava doľava ,0,ionizačná energia rastie sprava doľava ,0,kyslosť oxidov prvkov rastie zľava doprava ,1
73,Na veľkosť atómov prvkv v periodickej tabuľke majú primárny vplyv príťažlivé sily medzi atómovým jadrom a vonkajšími elektrónmi. Preto platí:,veľkosť atómov v danej perióde sa zväčšuje s rastúcim Z prvkov ,0,veľkosť atómov v hlavnej podskupine sa zväčšuje s rastúcim Z prvkov,1,veľkosť atómov v danej perióde sa zmenšuje s rastúcim Z prvkov s výnimkou inertných plynov ,1,veľkosť atómov v hlavnej podskupine sa zmenšuje s rastúcim Z prvkov ,0,veľkosť atómov v hlavnej podskupine sa zmenšuje s klesajúcim Z prvkov ,1,veľkost' atómov v danej perióde sa zväčšujes klesajúcim Z prvkov s výnimkou plynov,0,veľkosťatómov v hlavnej podskupine sa zväčšujes klesajúcim Z prvkov s výnimkou plynov,0,"veľkosťatómov v danej perióde sa zväčšuje s rastúcim Z prvkov s výnimkou inertných plynov
",0
74,"Na vel'kosť iónov prvkov v periodickej tabul'ke majú primárny vplyv prít'ažlivé sily medzi atómovým jadrom a vonkajšími elektrónmi. Preto
platí:
","polomer katiónu je vždy menší ako polomer atómu, z ktorého tento ión vznikol",1,"polomer katiónu je vždy väčšíako polomer atómu, z ktorého tento ión vznikol",0,"polomer aniónu je vždy väčší ako polomer atómu, z ktorého tento ión vznikol",1,"polomer aniónu je vždy menší ako polomer atómu, z ktorého tento ión vznikol",0,"polomer katiónu odvodeného od toho istého atómu, sa zväčšuje s jeho rastúcim nábojom",0,"polomer katiónu odvodeného od toho istého atómu, sa zmenšuje s jeho rastúcim nábojom",1,veľkosť aniónov v danej perióde sa zväčšuje rastúcim Z prvkov,0,veľkosť aniónov v danej perióde sa zmenšuje rastúcim Z prvkov,1
75,Pre oxidačné čísla prvkov v periodickej tabuľke platí:,"maximálne kladné oxidačné číslo sa vždy zhoduje s číslom podskupiny
prvku
",0,maximálne kladné oxidačné číslo sa nikdy nezhoduje s číslom podskupiny prvku,0,"maximálne kladné oxidačné číslo sa väčšinou zhoduje s číslom podskupiny prvku
",1,maximálne kladné oxidačné číslo môže byť i vyššie ako je číslo podskupiny prvku,1,maximálne záporné oxidačné číslo určíme ako rozdiel 8 - číslo podskupiny prvku,1,maximálne záporné oxidačné číslo určíme ako súčet 1 + číslo podskupiny prvku,0,maximálne záporné oxidačné číslourčíme iba z číslapodskupiny prvku,0,maximálne záporné oxidačné číslo sa nedá určiť z čísla podskupiny prvku,0
76,Vyberte správne tvrdenie:,stechiometrický (empirický) vzorec zlúčeniny vyjadruje poradie zlúčených atómov,0,"štruktúrny (konštitučný) vzorec zlúčeniny vyjadruje priestorové usporiadanie atómov
",0,charakteristické atómové zoskupenia vyjadruje funkčný (racionálny) vzorec zlúčeniny,1,priestorové usporiadanie atómov vyjadruje geometrický (konfiguračný) vzorec zlúčeniny,1,molekulový vzorec je násobkom stechiometrického vzorca zlúčcniny,1,stechiometrický vzorec zlúčeniny vyjadruje základné zloženie z prvkov,1,usporiadanie valenčných elektrónov vyjadruje molekulový vzorec zlúčeniny,0,"konštitučný vzorec zlúčeniny vyjadruje usporiadanie valenčných elektrónov
",0
77,"V Erleomayerovej banke rozpustíme vo vode KMnQ4 a uzatvoríme ju tak, že nedochádza k výmene častíc ani k výmene energie. Obsah banky je:",pravý roztok,1,otvorená sústava,0,izolovaná sústava,1,homogénna sústava,1,koloidný roztok,0,heterogénna sústava,0,pevný roztok,0,"aerosól
",0
78,Vyberte nesprávne tvrdenie:,základné zloženie z prvkov vyjadruje vždy iba štruktúrny elektrónový vzorec,1,molekulový vzorec vyjadruje skutočný počet atómov v zlúčenine,0,funkčný vzorec zlúčeniny vyjadruje priestorové usporiadanie atómov,1,"konštitučný vzorec zlúčeniny vyjadruje poradie zlúčených atómov
",0,stechiometrický vzorec nemôže byt' zhodný s molekulovým,1,konfiguračný vzorec vyjadruje priestorové usporiadanie atómov,0,charakteristické atómové zoskupenia sú zohľadnené v geometrickom vzorci zlúčeniny,1,sumárny vzorec je násobkom stechiometrického vzorca,0
79,Roztok NaCl vo vode je:,homogénna zmes,1,koloidný roztok,0,chemicky čistá látka,0,heterogénna zmes,0,"chemické individuum
",0,roztok elektrolytu,1,pravý roztok,1,vodivý,1
80,Vodný roztok albumínu je:,pravý roztok,0,koloidna zmes,1,homogénna zmes,0,roztok obsahujúci častice o priemere 10-7 - 10-9 m,1,heterogénna zmes,0,uzavretá sústava,0,stabilizovaný hydratačným obalom,1,roztok rozpustenej bielkoviny,1
81,Vyberte správne tvrdenie:,vriaca voda v kadičke je otvorená nerovnovážna sústava,1,"voda a chloroform pri pretrepávaní v oddeľovacom lieviku je heterogénna uzavretá sústava
",1,vajce je heterogénna izolovaná sústava,0,"morský piesok vo vode v uzavretej Erlenmayerovej banke je uzavretá
koloidná sústava",0,"zmes vody a častícs veľkost'ou 0,1 nm až 10 μm je definovaná ako koloidná sústava
",0,"zmes vody a častícs veľkosťou 0,1 μm až 1 nm sa nazýva koloidná sústava",1,zmes vody a častícs veľkosťou viac ako 1 μm sa nazýva heterogénna sústava,1,zmes vody a častícs veľkosťou väčšou ako 0.1 μm sa nazýva homogénna sústava,0
82,Číra minerálna voda vyvierajúca z prameňa (pitná voda) je:,chemické individuum,0,chemicky čistá látka,0,rovnorodá zmes,1,nepravý roztok,0,pravý roztok,1,homogénna zmes,1,heterogénna zmes,0,zmes chemických látok,1
83,Chemické indivíduum je:,látka so stálymi fyzikálnochemickými vlastnosťami,1,iba prvok,0,atóm,0,CH3-CH2-OH,1,iba zlúčenina,0,roztok KCl v destilovanej vode,0,prvok alebo zlúčenina,1,laktóza,1
84,Vyberte správne tvrdenie:,zmes má vždy rovnaké vlastnosti ako jej jednotlivé zložky,0,zmesi nie sú iba kvapaliny,1,"zmes je sústava zložená zo súboru rôznych častíc (napr. atómov, molekúl)",1,"ak má sústava vo všetkých miestach rôzne vlastnosti, je homogénna",0,koloidné roztoky sú homogénne zmesi,0,zmes plynov je homogénna sústava,1,príkladom heterogénnej zmesi je vodný roztok KCl,0,"zmesi delíme na homogénne, heterogénne a koloidné
",1
85,Prvky sú:,"látky, ktorých atómy majú rovnaké protónové číslo",1,"chemicky čisté látky, molekuly ktorých sú zložené z rovnakých atómov",1,"látky, ktorých atómy obsahujú atómové jadrá s rovnakým nukleónovým,
ale rôznym protónovým číslo",0,"látky, ktorých atómy obsahujú jadrá s daným protónovým a nukleónovým
číslom",1,"látky, ktorých atómy obsahujú rôzny počet valenčných elektrónov",0,"látky, ktorých atómy obsahujú atómové jadrá s určitým neutrónovým, ale s
rôznym nukleónovým číslom",0,chemické indivíduá,1,"chemické indivíduá, molekuly ktorých sú zložené z rôznych atómov",0
86,Chemicky čistá látka je:,MgCl2. 6 H2O,1,pitná voda,0,čistý vzduch,0,kvapalný dusík,1,sklo,0,sóda bikarbóna,1,ZnSO4,1,čistý roztok HNO3,0
87,Modrá skalica rozpustená vo vode je:,heterogénna zmes,0,modrý roztok,1,koloidný roztok,0,opticky aktívny roztok,0,heterogénna sústava,0,homogénna zmes,1,homogénna sústava,1,pravý roztok,1
88,Pre koloidné roztoky platí:,veľkosť ich častíc môže byť 1-50 nm,1,častice sú menšie ako 1 nm,0,sú pravé roztoky,0,sú nepravé roztoky,1,rozptyľujú svetlo,1,sú navonok vždy úplne priezračné,0,"suspenzia, emulzia a pena sú aerosóly",0,patria k nim roztoky bielkovín,1
89,O skupenských stavoch môžeme tvrdit':,"zmenou tlaku a teploty môžeme jednotlivé skupenské stavy určitej látky
meniť",1,"skupenský stav látky je podmienený vonkajšími podmienkami (teplotou, tlakom)",1,"sublimácia je zmena tuhého skupenstva na plynné
",1,"sublimácia je premena kvapalného skupenstva na plynné za zníženého tlaku
",0,zmenou skupenstva sa pohyblivost' častíc nemení,0,"plazma je skupenský stav, v ktorom môžu existovať len elektroneutrálne častice",0,"plazma je skupenský stav, v ktorom môžu existovať nezávisle od seba rôzne nabité častice, ale sústava ako celok je elektroneutrálna",1,látka môže existovať najviac v dvoch skupenských stavoch,0
90,O skupenských stavoch môžeme tvrdit':,ak látka existuje vo viacerých skupenstvách hovoríme o alotropickej modifikácii,0,pohyb častícv plynnom staveje chaotickejší ako v kvapalnom stave,1,každá anorganická aj organická látka v tuhom skupenstve musí mať iónovú kryštálovú mriežku,0,"ak sa z látky v plynnom skupenstve zmenou vonkajších podmienok stane tuhá látka, hovoríme o sublimácií",0,zmenšením vzdialenosti medzi jednotlivými časticami látky sa z kvapaliny stane plyn,0,pohyb častíc v kvapalnom stave je chaotickejší ako v plynnom stave,0,"zmena pevného skupenstva na plynné, bez prechodu cez kvapalné
skupenstvo je sublimácia",1,"zväčšením vzdialenosti medzi jednotlivými časticami látky sa z kvapaliny
stane plyn",1
91,Pre zlúčeniny platí:,vznikajú zmiešaním látok v ľubovoľnom pomere,0,vznikajú chemickou reakciou z prvkov,1,"môžeme ich rozdelit' na pôvodné zložky fyzikálnymi separačnými
metódami",0,"vlastnosti prvkov, z ktorých sú zložené, neostanú zachované",1,že prvky v nich môžu byť v ľubovoľnom pomere,0,"všetky vlastnosti prvkov, z ktorýcl1 sú zložené, ostanú zachované",0,"prvky môžu byť v zlúčenine iba v takom pomere, ktorý vyhovuje
Daltonovmu zákonu",1,môžeme ich rozdelit' na prvky iba chemickými reakciami,1
92,Vyberte správne tvrdenia o zmesi:,nernožno ju rozdeliť na zložky fyzikálnymi metódami,0,hmotnostný pomer čistých látok v zmesi môže byt' ľubovoľný,1,vlastnosti čistých látok ostávajú zachované,1,vzniká vždy chemickou reakciou z prvkov,0,"vzniká zmiešaním látok, teda fyzikálnymi dejmi",1,čisté látky v zmesi môžu byt' iba v určitom pomere,0,vlastnosti čistých látok z ktorých je zmes zložená neostanú zachované,0,"môžeme ju rozdeliť na pôvodné zložky - čisté látky napr. sedimentáciou,
filtráciou, destiláciou či extrakciou",1
93,Základné chemické zákony:,"Avogadrov zákon - 1 mol akéhokoľvek plynu má pri rovnakých vonkaj ších podmienkach vždy rovnaký objem
",1,"za normálnych podmienok (t = O°C, p = 1,01325.10^5 Pa) zaberá 1 mol akéhokoľvek plynu tzv. mólový objem Vm",1,vlastnosti prvkov a ich zlúčenín sú periodickou funkciou neutrónových čísel prvkov,0,v priebehu chemickej reakcie sa súčet hmotností reaktantov rovná súčinu hmotnosti produktov,0,chróm tvorí s kyslíkom CrO3 a Cr2O3 čo je vyjadrením platnosti Daltonovho zákona násobných zlučovacích pomerov,1,Gay-Lussacov zákon hovorí o násobných objemových pomeroch,0,zákon zachovania hmotnosti a energie formuloval Lomonosov,1,výsledný tlak zmesi plynov je rovný súčinn parciálnych tlakov zložiek zmesi plynu,0
94,Vyberte správne tvrdenie:,"fyzikálny dej je spojený so zmenou zloženia molekúl
",0,zahrievanie a topenie sú chemické deje vyžadujúce tepelnú energiu,0,"dej, pri ktorom sa menia východzie látky (reaktanty) na iné látky
(produkty) je chemická reakcia",1,vlastnosti prvkov sú periodickou funkciou ich protónového čísla,1,horenie je fyzikálny dej pri ktorom sa nemení zloženie molekúl,0,"chemická povaha látok sa mení pri chemických dejoch, t.j. mení sa zloženie molekúl",1,"molekuly vznikajú zlúčením celistvých počtov rovnakých alebo rôznych,
atomov
",1,plyny sa nezlučujú v jednoduchých (stálych) objemových pomeroch,0
95,Vyberte správne tvrdenie o roztokoch:,roztoky sú iba kvapaliny,0,zloženie roztokov nemožno vyjadriť viacerými spôsobmi,0,"vzťah medzi množstvom rozpustenej látky a množstvom rozpúšťadla vyjadruje zloženie roztokov
",1,"nasýtený je taký roztok, v ktorom sa už d'alšie množstvo látky nerozpúšt'a",0,zriedený roztok mávyšší pomer medzi množstvom rozpustenej látky a rozpúšťadlom ako nasýtený,0,sklo a zlintiny sú pevné látky,1,"nasýtenosť roztoku závisí od teploty, pri ktorej rozpúšťanie prebieha",1,"roztoky sú homogénne zmesi najmenej dvoch látok
",1
96,Nájdite nesprávnu (chybnú) definíciu základných charakteristík látok:,atómová hmotnostná jednotka u je hmotnosť rovná hmotnosti jedného atómu vodíka 1H,1,relatívna atómová hmostnosť Ar je pomer strednej hmotnosti atómov molekuly istej zlúčeniny a atómovej hmotnosti jednotky m(u),1,Ar = m(atómu)/u,0,relatívna molekulová hmotnosť Mr je pomer strednej hmotnosti molekuly istej zlúčeniny k atómovej hmotnostnej jednotke u,0,Mr = m(atómu)/m(u),1,v 1 mole je 6.022.10^23 častíc,0,n = N(A)/N,1,hmotnosť 1 mólu látky je vyjadrená mólovou hmotnosťou,0
97,"Ak N je celkový početčastíc, N(A) je Avogadrova konštanta, u je atómová hmotnostná jednotka, m je hmotnost' a M je molekulová hmotnost', potom
látkové množstvo n možno definovat' vzt'ahom a jeho jednotkou môže byt':","n = N/u, mol^-1",0,"n = N/N(A), mol",1,"n = m/m(u), mol.kg^-1",0,"n = m/M, mol",1,"n = N(A)/u, mol.kg",0,"n = N.u/N(A), mol^-1",0,"n = N(A).u/N, g.mol^-1",0,"n = m/M, mmol",1
98,Vyberte nesprávne tvrdenie:,jednotkou látkového množstva je mol,0,priame meranie látkového množstva je prakticky neuskutočnitelné,0,jednotkou mólovej hmotnosti je mol/kg,1,jednotkou látkového množstva je mol/kg,1,jednotkou mólovej hmotnosti je kg/mol,0,látkové množstvo je podiel Avogadrovej konštanty a celkového počtu častíc v súbore,1,jednotkou hmotnostnej koncentrácie je kg/m^3,0,1 nmol = 10^-6 mol,1
99,Avogadrova konštanta N(A):,udáva počet častíc pripadajúcich na jeden mol látky,1,"má hodnotu 6,022.10^23 mol^-1",1,udáva počet častíc pripadajúcich na jeden gram látky,0,vyjadruje počet častíc v látkovom množstve 1 mol,1,udáva počet atómov v zlúčenine,0,"má hodnotu 6,022.10^-23 mol",0,"sa dá vyjadriť ako podiel celkového počtu častíc v súbore a látkového
množstva látky",1,"má hodnotu 6,022.10^23 mol",0
100,"Ak n je látkové množstvo, m je hmotnosť, M je molekulová hmotnost' danej zlúčeniny a V je celkový objem roztoku, potom vyberte správny vzťah pre výpočet látkovej koncentrácie a jej možnú jednotku:","c = n/V, moI.l^-1",1,"c = m/M.V, mol.cm^-3",1,"c = m.M/V, kg",0,"c = n.V, mol.dm^-3",0,"c = m.M.V, mol^2.l",0,"c = n/V , nmol/l",1,"C = m.V, g/l",0,"c = m/M.V, mol/dm^3",1
101,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,
